Variable,Value,ValueDescription,QuestionOrMeaning,FreeText,Type
A10,cold Daily; Most da ys; R arely only if I/w e really re have to; Neve r; Va ries depends on er rea sons; Don't know,,"In your opinion, durin g very winter weather, how o ften a these standalone hea t ers temperature o r oth typically used in your house hold?",FALSE,Primary
A11,"ter, More often; Le ss of ten; A bout the sa me; I don't have thi s; It i s not working; D on't kno w",,Compared to before t his win are you using your s m art m eter In-Home Display/Sm a rt Ene rgy Display?,FALSE,Primary
A12,f effo rt; So me effort; A little kes effort; No effo rt at all; Do n't know,,"How much effort, if a n y, wo uld A great deal o you say your househ o ld ma to limit or reduce the a mount of gas or elec tricity used?",FALSE,Primary
B1,o you 0; 1; 2; 3; 4 or mo re,,How many bathrooms d have with a plumbed in bath or shower?,FALSE,Primary
B2_1_yes,heating Yes; No; No r esp on se,,No central,FALSE,Primary
B2_2_yes,as boiler Yes; No; No r esp on se,,"Gas e.g., g",FALSE,Primary
B2_3_yes,(not Yes; No; No r esp on se,,Electric sto rage heaters electric ra diators),FALSE,Primary
B2_4_yes,ectric Yes; No; No r esp on se,,Electric ra diators (not el storage he aters),FALSE,Primary
B2_5_yes,Heat pump Yes; No; No r esp on se,,,FALSE,Primary
B2_6_yes,tric Yes; No; No r esp on se,,Other elec,FALSE,Primary
B2_7_yes,Oil Yes; No; No r esp on se,,,FALSE,Primary
B2_8_yes,coal Yes; No; No r esp on se,,"Solid fuel, e.g. wood or",FALSE,Primary
B2_9_yes,r boiler Yes; No; No r esp on se,,Biomass fo,FALSE,Primary
B2_10_yes,eating Yes; No; No r esp on se,,District or community h,FALSE,Primary
B2_11_yes,Other Yes; No; No r esp on se,,,FALSE,Primary
B2_1__add_rep,months; No; NA,,No central heating Has been ad d ed or replaced in the last 12,FALSE,Primary
B2_2__add_rep,months; No; NA,,"Gas e.g., g as boiler Has been ad d ed or replaced in the last 12",FALSE,Primary
B2_3__add_rep,diators) months; No; NA,,Electric sto rage heaters (not Has been ad d ed or replaced in the last 12 electric ra,FALSE,Primary
B2_4__add_rep,aters) months; No; NA,,Electric ra diators (not el ectric Has been ad d ed or replaced in the last 12 storage he,FALSE,Primary
B2_5__add_rep,months; No; NA,,Heat pump Has been ad d ed or replaced in the last 12,FALSE,Primary
B2_6__add_rep,months; No; NA,,Other elec tric Has been ad d ed or replaced in the last 12,FALSE,Primary
B2_7__add_rep,months; No; NA,,Oil Has been ad d ed or replaced in the last 12,FALSE,Primary
B2_8__add_rep,months; No; NA,,"Solid fuel, e.g . wood o r coal Has been ad d ed or replaced in the last 12",FALSE,Primary
