Variable,Value,ValueDescription,QuestionOrMeaning,FreeText,Type
Q2R3,1,1 person,Working Status - Not Working - long term sickness or disability,FALSE,Primary
Q2R3,2,2 people,Working Status - Not Working - long term sickness or disability,FALSE,Primary
Q2R3,3,3 people,Working Status - Not Working - long term sickness or disability,FALSE,Primary
Q2R3,4,4 or more people,Working Status - Not Working - long term sickness or disability,FALSE,Primary
Q2R4,-9,Not applicable,Working Status - Unemployed but seeking work,FALSE,Primary
Q2R4,-3,Prefer not to say,Working Status - Unemployed but seeking work,FALSE,Primary
Q2R4,-2,No answer,Working Status - Unemployed but seeking work,FALSE,Primary
Q2R4,-1,Don't know,Working Status - Unemployed but seeking work,FALSE,Primary
Q2R4,0,0 people,Working Status - Unemployed but seeking work,FALSE,Primary
Q2R4,1,1 person,Working Status - Unemployed but seeking work,FALSE,Primary
Q2R4,2,2 people,Working Status - Unemployed but seeking work,FALSE,Primary
Q2R4,3,3 people,Working Status - Unemployed but seeking work,FALSE,Primary
Q2R4,4,4 or more people,Working Status - Unemployed but seeking work,FALSE,Primary
Q2R5,-9,Not applicable,Working Status - Student,FALSE,Primary
Q2R5,-3,Prefer not to say,Working Status - Student,FALSE,Primary
Q2R5,-2,No answer,Working Status - Student,FALSE,Primary
Q2R5,-1,Don't know,Working Status - Student,FALSE,Primary
Q2R5,0,0 people,Working Status - Student,FALSE,Primary
Q2R5,1,1 person,Working Status - Student,FALSE,Primary
Q2R5,2,2 people,Working Status - Student,FALSE,Primary
Q2R5,3,3 people,Working Status - Student,FALSE,Primary
Q2R5,4,4 or more people,Working Status - Student,FALSE,Primary
Q2R6,-9,Not applicable,Working Status - Retired / at home / not seeking work,FALSE,Primary
Q2R6,-3,Prefer not to say,Working Status - Retired / at home / not seeking work,FALSE,Primary
Q2R6,-2,No answer,Working Status - Retired / at home / not seeking work,FALSE,Primary
Q2R6,-1,Don't know,Working Status - Retired / at home / not seeking work,FALSE,Primary
Q2R6,0,0 people,Working Status - Retired / at home / not seeking work,FALSE,Primary
Q2R6,1,1 person,Working Status - Retired / at home / not seeking work,FALSE,Primary
Q2R6,2,2 people,Working Status - Retired / at home / not seeking work,FALSE,Primary
Q2R6,3,3 people,Working Status - Retired / at home / not seeking work,FALSE,Primary
Q2R6,4,4 or more people,Working Status - Retired / at home / not seeking work,FALSE,Primary
Q2R7,-9,Not applicable,Working Status - Other,FALSE,Primary
Q2R7,-3,Prefer not to say,Working Status - Other,FALSE,Primary
Q2R7,-2,No answer,Working Status - Other,FALSE,Primary
Q2R7,-1,Don't know,Working Status - Other,FALSE,Primary
Q2R7,0,0 people,Working Status - Other,FALSE,Primary
Q2R7,1,1 person,Working Status - Other,FALSE,Primary
Q2R7,2,2 people,Working Status - Other,FALSE,Primary
Q2R7,3,3 people,Working Status - Other,FALSE,Primary
Q2R7,4,4 or more people,Working Status - Other,FALSE,Primary
Q3,-9,Not applicable,Is there usually at least one person in the home on a weekday?,FALSE,Primary
Q3,-3,Prefer not to say,Is there usually at least one person in the home on a weekday?,FALSE,Primary
Q3,-2,No answer,Is there usually at least one person in the home on a weekday?,FALSE,Primary
Q3,-1,Don't know,Is there usually at least one person in the home on a weekday?,FALSE,Primary
Q3,1,Yes,Is there usually at least one person in the home on a weekday?,FALSE,Primary
Q3,2,No,Is there usually at least one person in the home on a weekday?,FALSE,Primary
Q3,3,It varies a lot,Is there usually at least one person in the home on a weekday?,FALSE,Primary
Q4,-9,Not applicable,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q4,-3,Prefer not to say,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q4,-2,No answer,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q4,-1,Don't know,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q4,1,3 or more times a week,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q4,2,Once or twice a week,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q4,3,Less than that but more than twice a month,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q4,4,Once or twice a month,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q4,5,Less than that but more than twice a year,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q4,6,Once or twice a year,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q4,7,Less than that or never,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,FALSE,Primary
Q5_1,-9,Not applicable,Do you have any pets that live with your household? No,FALSE,Primary
Q5_1,-3,Prefer not to say,Do you have any pets that live with your household? No,FALSE,Primary
Q5_1,-2,No answer,Do you have any pets that live with your household? No,FALSE,Primary
Q5_1,-1,Don't know,Do you have any pets that live with your household? No,FALSE,Primary
Q5_1,0,No,Do you have any pets that live with your household? No,FALSE,Primary
Q5_1,1,Yes,Do you have any pets that live with your household? No,FALSE,Primary
