Variable,QuestionText,ResponseValue,ResponseDescription
Q22a_1_8_4,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using a laptop, computer, or tablet 4pm - 7.59pm",1,4pm - 7.59pm
Q22a_1_8_5,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using a laptop, computer, or tablet 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22a_1_8_6,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using a laptop, computer, or tablet 12am - 3.59am",1,12am - 3.59am
Q22a_1_9_1,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using electric gym equipment 4am - 7.59am,1,4am - 7.59am
Q22a_1_9_2,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using electric gym equipment 8am - 11.59am,1,8am - 11.59am
Q22a_1_9_3,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using electric gym equipment 12pm - 3.59pm,1,12pm - 3.59pm
Q22a_1_9_4,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using electric gym equipment 4pm - 7.59pm,1,4pm - 7.59pm
Q22a_1_9_5,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using electric gym equipment 8pm - 11.59 pm,1,8pm - 11.59 pm
Q22a_1_9_6,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using electric gym equipment 12am - 3.59am,1,12am - 3.59am
Q22a_2_1_1,We are interested in whether your household did some typical household activities at roughly the... - If you don't know... - Having baths ... then tick below,1,... then tick below
Q22a_2_2_1,We are interested in whether your household did some typical household activities at roughly the... - If you don't know... - Having showers ... then tick below,1,... then tick below
Q22a_2_3_1,We are interested in whether your household did some typical household activities at roughly the... - If you don't know... - Running the washing machine ... then tick below,1,... then tick below
Q22a_2_4_1,We are interested in whether your household did some typical household activities at roughly the... - If you don't know... - Using the tumble dryer ... then tick below,1,... then tick below
Q22a_2_5_1,We are interested in whether your household did some typical household activities at roughly the... - If you don't know... - Running the dishwasher ... then tick below,1,... then tick below
Q22a_2_6_1,"We are interested in whether your household did some typical household activities at roughly the... - If you don't know... - Using the oven, cooker or grill ... then tick below",1,... then tick below
Q22a_2_7_1,"We are interested in whether your household did some typical household activities at roughly the... - If you don't know... - Having the TV on, including for playing games ... then tick below",1,... then tick below
Q22a_2_8_1,"We are interested in whether your household did some typical household activities at roughly the... - If you don't know... - Using a laptop, computer, or tablet ... then tick below",1,... then tick below
Q22a_2_9_1,We are interested in whether your household did some typical household activities at roughly the... - If you don't know... - Using electric gym equipment ... then tick below,1,... then tick below
Q22b_1_1_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having baths 4am - 7.59am",1,4am - 7.59am
Q22b_1_1_2,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having baths 8am - 11.59am",1,8am - 11.59am
Q22b_1_1_3,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having baths 12pm - 3.59pm",1,12pm - 3.59pm
Q22b_1_1_4,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having baths 4pm - 7.59pm",1,4pm - 7.59pm
Q22b_1_1_5,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having baths 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22b_1_1_6,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having baths 12am - 3.59am",1,12am - 3.59am
Q22b_1_2_1,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having showers 4am - 7.59am",1,4am - 7.59am
Q22b_1_2_2,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having showers 8am - 11.59am",1,8am - 11.59am
Q22b_1_2_3,"Thinking about a typical weekday BEFORE the lockdown, when did your household do the following ac... - Time of day (before lockdown) - Having showers 12pm - 3.59pm",1,12pm - 3.59pm
