Variable
PUPRN
builtForm
co2EmissCurrPerFloorArea
co2EmissionsCurrent
co2EmissionsPotential
constituency
constructionAgeBand
currentEnergyEfficiency
currentEnergyRating
energyConsumptionCurrent
energyConsumptionPotential
energyTariff
environmentImpactCurrent
environmentImpactPotential
extensionCount
fixedLightingOutletsCount
flatStoreyCount
flatTopStorey
floorDescription
floorEnergyEff
floorEnvEff
floorHeight
floorLevel
glazedArea
glazedType
heatingCostCurrent
heatingCostPotential
heatLossCorridor
hotWaterCostCurrent
hotWaterCostPotential
hotwaterDescription
hotWaterEnergyEff
hotWaterEnvEff
inspectionDate
lightingCostCurrent
lightingCostPotential
lightingDescription
lightingEnergyEff
lightingEnvEff
localAuthority
lodgementDate
lodgementDatetime
lowEnergyFixedLightCount
lowEnergyLighting
mainFuel
mainheatcEnergyEff
mainheatcEnvEff
mainheatcontDescription
mainheatDescription
mainheatEnergyEff
mainheatEnvEff
mainHeatingControls
mainsGasFlag
mechanicalVentilation
multiGlazeProportion
numberHabitableRooms
numberHeatedRooms
numberOpenFireplaces
photoSupply
potentialEnergyEfficiency
potentialEnergyRating
propertyType
roofDescription
roofEnergyEff
roofEnvEff
secondheatDescription
sheatingEnergyEff
sheatingEnvEff
solarWaterHeatingFlag
tenure
totalFloorArea
transactionType
unheatedCorridorLength
wallsDescription
wallsEnergyEff
wallsEnvEff
windowsDescription
windowsEnergyEff
windowsEnvEff
windTurbineCount
epcVersion
