domain,master_var_name,concept,Sign Up Survey,2023 Survey,2025 Survey,Sign Up Survey Coding Type,2023 Survey Coding Type,2025 Survey Coding Type,Column Harmonisation,Master Dataframe Coding Type,notes
Behaviour,no_dryer_use,Dry clothes without using a tumble dryer,,A5_10,Q22R4,,C,27,Yes,17.0,
Behaviour,standby_off,Turn appliances off standby when they are not in use,,A5_11,Q22R5,,C,27,Yes,17.0,
Behaviour,curtains_blinds,Close curtains / blinds at night,,A5_12,Q22R6,,C,27,Yes,17.0,
Behaviour,shower_no_bath,Take a shower rather than having a bath,,A5_13,Q22R7,,C,27,Yes,17.0,
Behaviour,short_showers_no_long,Take short showers rather than longer showers,,A5_14,Q22R8,,C,27,Yes,17.0,
Behaviour,dishwasher_use_freq,How often do you use the dishwasher rather than washing up?,,A5_15,,,C,,,,
Behaviour,avoid_cooker_oven,Avoid using the cooker or oven when preparing a main meal,,A5_16,Q22R9,,C,27,Yes,17.0,
Behaviour,lights_off_compare,Switched off lights in rooms that aren’t being used - Compare to last winter,,A6_1,,,N,,,,
Behaviour,clothes_on_compare,Put more clothes on when feeling cold rather than putting the heating on or turning it up - Compare to last winter,,A6_2,,,N,,,,
Behaviour,heat_off_compare,Turned down your thermostat or turn off your heating when you leave the house - Compare to last winter,,A6_3,,,N,,,,
Behaviour,standalone_compare,Used a standalone heater rather than putting the heating on or turning it up - Compare to last winter,,A6_4,,,N,,,,
Behaviour,el_blanket_compare,"Used an electric blanket, hot water bottle or similar when feeling cold rather than putting the heating on or turning it up - Compare to last winter",,A6_5,,,N,,,,
Behaviour,vacant_heatoff_compare,Turned down radiators when rooms are not in use - Compare to last winter,,A6_6,,,N,,,,
Behaviour,occupied_heatoff_compare,Turned down radiators in rooms that are in use - Compare to last winter,,A6_7,,,N,,,,
Behaviour,full_load_compare,Ran the washing machine with a full load rather than running it part full - Compare to last winter,,A6_8,,,N,,,,
Behaviour,compare_30C,Ran the washing machine at 30 degrees or lower - Compare to last winter,,A6_9,,,N,,,,
Behaviour,no_dryer_compare,Dried clothes without using a tumble dryer - Compare to last winter,,A6_10,,,N,,,,
Behaviour,standby_off_compare,Turned appliances off standby when they are not in use - Compare to last winter,,A6_11,,,N,,,,
Behaviour,curtains_blinds_compare,Closed curtains / blinds at night - Compare to last winter,,A6_12,,,N,,,,
Behaviour,shower_no_bath_compare,Taken a shower rather than having a bath - Compare to last winter,,A6_13,,,N,,,,
Behaviour,short_showers_compare,Taken short showers rather than longer showers - Compare to last winter,,A6_14,,,N,,,,
Behaviour,dishwasher_use_compare,Used the dishwasher rather than washing up - Compare to last winter,,A6_15,,,N,,,,
Behaviour,avoid_cooker_oven_compare,Avoided using the cooker or oven when preparing a main meal - Compare to last winter,,A6_16,,,N,,,,
Other,smart_meter_use,"Compared to before this winter, are you using your smart meter In-Home Display/Smart Energy Display?",,A11,,,O,,,,
Housing,no_bathrooms,number of bathrooms,,B1,,,P,,,,
Energy,heating_heatpump,heat pump heating present,,B2_5_yes,Q15_5,,A,26,Yes,18.0,
Energy,heating_add_rep_12m,Has a heating system been added or replaced in your home in the last 12 months?,,B2_1__add_rep,Q15B_1,,Q,26,Yes,25.0,Has been added or replaced in the last 12 months; No; NA
Energy,gas_add_rep_12m,Has a gas boiler been added or replaced in your home in the last 12 months?,,B2_2__add_rep,Q15B_2,,Q,26,Yes,25.0,
Energy,el_storage_add_rep_12m,Have electric storage heaters been added or replaced in your home in the last 12 months?,,B2_3__add_rep,Q15B_3,,Q,26,Yes,25.0,
Energy,el_radiators_add_rep_12m,Have electric radiators been added or replaced in your home in the last 12 months?,,B2_4__add_rep,Q15B_4,,Q,26,Yes,25.0,
Energy,heatpump_add_rep_12m,Has a heat pump been added or replaced in your home in the last 12 months?,,B2_5__add_rep,Q15B_5,,Q,26,Yes,25.0,
Energy,other_el_heat_add_rep_12m,Has another electric heating system been added or replaced in your home in the last 12 months?,,B2_6__add_rep,Q15B_6,,Q,26,Yes,25.0,
Energy,oil_add_rep_12m,Has an oil heating system been added or replaced in your home in the last 12 months?,,B2_7__add_rep,Q15B_7,,Q,26,Yes,25.0,
Energy,solidfuel_add_rep_12m,Has an solid fuel heating system been added or replaced in your home in the last 12 months?,,B2_8__add_rep,Q15B_8,,Q,26,Yes,25.0,
Energy,biomass_add_rep_12m,Has a biomass boiler been added or replaced in your home in the last 12 months?,,B2_9__add_rep,Q15B_9,,Q,26,Yes,25.0,
Energy,district_add_rep_12m,Has district or community heating system been added or replaced in your home in the last 12 months?,,B2_10__add_rep,Q15B_10,,Q,26,Yes,25.0,
Energy,other_add_rep_12m,Has other heating system been added or replaced in your home in the last 12 months?,,B2_11__add_rep,Q15B_11,,Q,26,Yes,25.0,
Energy,solar_panels_electricity,Does your household have solar panels for electricity?,,B3_1_yes,Q16_1,,A,26,Yes,18.0,Survey 2025: What's the difference between the Q16s and Q16Bs?
Energy,solar_water_heating,Does your household have solar water heating?,,B3_2_yes,Q16_2,,A,26,Yes,18.0,
Energy,battery_storage,Does your household have battery storage that is wired into your mains electricity?,,B3_3_yes,Q16_3,,A,26,Yes,18.0,
Energy,EV_point,Does your household have electric vehicle (EV) charging point?,,B3_4_yes,,,A,,,,
Energy,LED_lights,Does your household have LED light bulbs in most of your lights?,,B3_5_yes,Q16_4,,A,26,Yes,18.0,
Energy,radiators_main_living,Does your household have radiators in main living areas?,,B3_6_yes,Q17_4,,A,26,Yes,18.0,
Energy,TRVs_present, Does your household have thermostatic radiator valves on at least half of your radiators?,,B3_7_yes,Q16_5,,A,26,Yes,18.0,
Energy,UFH_main_living,Does your household have underfloor heating in main living areas?,,B3_8_yes,Q16_6,,A,26,Yes,18.0,
Energy,air_heating_main_living,Does your household have warm air heating units in main living areas?,,B3_9_yes,Q16_7,,A,26,Yes,18.0,
Energy,thermostat_present,Does your household have central heating thermostat?,,B3_10_yes,Q17_1,,A,26,Yes,18.0,
Energy,time_clock_present,Does your household have central heating time clock / programmer?,,B3_11_yes,Q17_2,,A,26,Yes,18.0,
Energy,smart_control_present,"Does your household have smart heating control (e.g., Nest, Hive, Tado)?",,B3_12_yes,Q17_3,,A,26,Yes,18.0,
Energy,HW_cylinder_present,Does your household have hot water cylinder?,,B3_13_yes,Q16_8,,A,26,Yes,18.0,
Energy,HWC_insulation_present,Does your household have insulating jacket on hot water cylinder?,,B3_14_yes,Q16_9,,A,26,Yes,18.0,
Energy,HWC_thermostat_present,Does your household have thermostat on hot water cylinder?,,B3_15_yes,Q16_10,,A,26,Yes,18.0,
Energy,solar_panels_add_rep_12m,Have solar panels for electricity been added or replaced in your home in the last 12 months?,,B3_1_add_rep,Q16B_1,,Q,26,Yes,25.0,
Energy,solarwater_add_rep_12m,Has solar water heating been added or replaced in your home in the last 12 months?,,B3_2_add_rep,Q16B_2,,Q,26,Yes,25.0,
Energy,bat_storage_add_rep_12m,Has battery storage that is wired into your mains electricity been added or replaced in your home in the last 12 months?,,B3_3_add_rep,Q16B_3,,Q,26,Yes,25.0,
Energy,EV_point_add_rep_12m,Has electric vehicle (EV) charging point been added or replaced in your home in the last 12 months?,,B3_4_add_rep,,,Q,,,,
Energy,LED_lights_add_rep_12m,Have LED light bulbs in most of your lights been added or replaced in your home in the last 12 months?,,B3_5_add_rep,Q16B_4,,Q,26,Yes,25.0,
Energy,radiators_add_rep_12m,Have radiators in main living areas been added or replaced in your home in the last 12 months?,,B3_6_add_rep,Q16B_5,,Q,26,Yes,25.0,
Energy,TRVs_add_rep_12m,Have thermostatic radiator valves on at least half of your radiators been added or replaced in your home in the last 12 months?,,B3_7_add_rep,,,Q,,,,
Energy,UFH_add_rep_12m,Has underfloor heating in main living areas been added or replaced in your home in the last 12 months?,,B3_8_add_rep,Q16B_6,,Q,26,Yes,25.0,
Energy,air_heaters_add_rep_12m,Have warm air heating units in main living areas been added or replaced in your home in the last 12 months?,,B3_9_add_rep,Q16B_7,,Q,26,Yes,25.0,
Energy,thermostat_add_rep_12m,Has central heating thermostat been added or replaced in your home in the last 12 months?,,B3_10_add_rep,,,Q,,,,
Energy,time_clock_add_rep_12m,Has central heating time clock / programmer been added or replaced in your home in the last 12 months?,,B3_11_add_rep,,,Q,,,,
Energy,smart_control_add_rep_12m,"Has smart heating control (e.g., Nest, Hive, Tado) been added or replaced in your home in the last 12 months?",,B3_12_add_rep,,,Q,,,,
Energy,HWC_add_rep_12m,Has hot water cylinder been added or replaced in your home in the last 12 months?,,B3_13_add_rep,Q16B_8,,Q,26,Yes,25.0,
Energy,HWC_ins_add_rep_12m,Have insulating jacket on hot water cylinder been added or replaced in your home in the last 12 months?,,B3_14_add_rep,Q16B_9,,Q,26,Yes,25.0,
Energy,HWC_thermostat_add_rep_12m,Has thermostat on hot water cylinder been added or replaced in your home in the last 12 months?,,B3_15_add_rep,Q16B_10,,Q,26,Yes,25.0,
,none_sustain_add_rep_12m,Has another sustainable metre been added or replaced in your home in the last 12 months? - None of the above,,,Q16B_11,,,26,,,
,DK_sustain_add_rep_12m,Has another sustainable metre been added or replaced in your home in the last 12 months? - Don't know,,,Q16B_12,,,26,,,
Housing,loft_insulation,Does your household have loft insulation?,,B4_1_yes,Q18_1,,A,26,Yes,18.0,
Housing,cavity_wall_insulation,Does your household have cavity wall insulation?,,B4_2_yes,Q18_2,,A,26,Yes,18.0,
Housing,solid_wall_insulation,Does your household have solid wall insulation?,,B4_3_yes,Q18_3,,A,26,Yes,18.0,
Housing,underfloor_insulation,Does your household have underfloor insulation?,,B4_4_yes,Q18_4,,A,26,Yes,18.0,
Housing,double_glazing,Does your household have double or secondary glazed windows?,,B4_5_yes,Q18_5,,A,26,Yes,18.0,
Housing,draughtproofing,"Does your household have draughtproofing on windows, doors and/or chimneys?",,B4_6_yes,Q18_6,,A,26,Yes,18.0,
Housing,other_insulation,Other type of insulation?,,B4_7_yes,Q18_7,,A,26,Yes,18.0,
Housing,dk_insulation,Don't know if house has any insulation.,,,Q18_8,,,,,,
Housing,no_insulation,None of the above types of insulation.,,,Q18_9,,,,,,
Housing,loft_ins_add_rep_12m,Has loft insulation been added or replaced in your home in the last 12 months?,,B4_1_add_rep,,,Q,,,,
Housing,cavity_wall_add_rep_12m,Has cavity wall insulation been added or replaced in your home in the last 12 months?,,B4_2_add_rep,,,Q,,,,
Housing,solid_wall_add_rep_12m,Has solid wall insulation been added or replaced in your home in the last 12 months?,,B4_3_add_rep,,,Q,,,,
Housing,underfloor_add_rep_12m,Has underfloor insulation been added or replaced in your home in the last 12 months?,,B4_4_add_rep,,,Q,,,,
Housing,double_glazing_add_rep_12m,Have double or secondary glazed windows been added or replaced in your home in the last 12 months?,,B4_5_add_rep,,,Q,,,,
Housing,draughtproofing_add_rep_12m,"Has draughtproofing on windows, doors and/or chimneys been added or replaced in your home in the last 12 months?",,B4_6_add_rep,,,Q,,,,
Housing,other_ins_add_rep_12m,Has other type of insulation been added or replaced in your home in the last 12 months?,,B4_7_add_rep,,,Q,,,,
Housing,mould_windows_bathroom,Do you have mould around the windows or in the bathroom?,,B6_1,Q12R1,,H,34,Yes,19.0,
Housing,mould_walls,Do you have mould on any walls?,,B6_2,Q12R2,,H,34,Yes,19.0,
Housing,mould_furnishing,Do you have mould on furnishings?,,B6_3,Q12R3,,H,34,Yes,19.0,
